Rk,Player,Team,PA,AB,H,BB,BA▼,OBP,SLG,OPS
1,Aaron Judge,NYY,270,226,88,41,0.389,0.485,0.752,1.237
2,Freddie Freeman*,LAD,217,190,69,22,0.363,0.429,0.616,1.044
3,Jacob Wilson,ATH,249,232,83,13,0.358,0.395,0.509,0.904
4,Ryan O'Hearn*,BAL,205,177,58,24,0.328,0.415,0.525,0.94
5,José Ramírez#,CLE,246,220,72,20,0.327,0.382,0.55,0.932
6,Jonathan Aranda*,TBR,210,181,59,23,0.326,0.414,0.508,0.923
7,Paul Goldschmidt,NYY,246,223,72,19,0.323,0.38,0.471,0.85
8,Will Smith,LAD,194,158,51,31,0.323,0.433,0.487,0.92
9,Brendan Donovan*,STL,246,221,71,19,0.321,0.384,0.462,0.845
10,Manny Machado,SDP,250,223,70,25,0.314,0.38,0.484,0.864
11,Maikel Garcia,KCR,239,214,67,21,0.313,0.374,0.467,0.841
12,Jeremy Peña,HOU,258,231,72,16,0.312,0.374,0.481,0.854
13,Steven Kwan*,CLE,256,231,72,20,0.312,0.373,0.433,0.805
14,Trea Turner,PHI,266,243,73,19,0.3,0.357,0.444,0.802
15,TJ Friedl*,CIN,262,227,68,30,0.3,0.383,0.419,0.802
16,Alex Bregman,BOS,226,197,59,22,0.299,0.385,0.553,0.938
17,Nico Hoerner,CHC,242,223,66,14,0.296,0.343,0.372,0.715
18,Alejandro Kirk,TOR,191,173,51,14,0.295,0.346,0.376,0.721
19,Jake Meyers,HOU,204,185,54,16,0.292,0.347,0.405,0.752
20,Heliot Ramos,SFG,261,233,68,19,0.292,0.356,0.494,0.85
21,Shohei Ohtani*,LAD,281,240,70,39,0.292,0.388,0.65,1.038
22,Sal Frelick*,MIL,237,213,62,17,0.291,0.352,0.404,0.756
23,Pete Alonso,NYM,272,231,67,31,0.29,0.386,0.563,0.949
24,Andy Pages,LAD,238,221,64,13,0.29,0.336,0.502,0.838
25,Gavin Lux*,CIN,207,180,52,27,0.289,0.382,0.394,0.776
26,Josh Naylor*,ARI,254,230,66,20,0.287,0.344,0.448,0.792
27,Bobby Witt Jr.,KCR,266,237,68,21,0.287,0.346,0.494,0.84
28,Rafael Devers*,BOS,292,239,68,50,0.285,0.408,0.506,0.914
29,Kyle Tucker*,CHC,270,226,64,40,0.283,0.393,0.522,0.915
