Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA▼,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
1,Aaron Judge,33,NYY,AL,4.8,60,270,226,55,88,15,2,21,50,4,3,41,60,0.389,0.485,0.752,1.237,247,0.51,252,170,7,2,0,1,12,*9D,,judgeaa01
2,Freddie Freeman*,35,LAD,NL,2.3,51,217,190,34,69,19,1,9,40,0,1,22,41,0.363,0.429,0.616,1.044,195,0.438,192,117,5,2,0,3,4,*3/H,,freemfr01
3,Jacob Wilson,23,ATH,AL,2.4,59,249,232,31,83,14,0,7,33,5,0,13,16,0.358,0.395,0.509,0.904,155,0.401,160,118,9,2,1,1,1,*6,,wilsoja05
4,Ryan O'Hearn*,31,BAL,AL,2.1,51,205,177,25,58,8,0,9,23,3,1,24,33,0.328,0.415,0.525,0.94,172,0.408,173,93,4,3,0,1,1,D39/7H,,ohearry01
5,José Ramírez#,32,CLE,AL,2.7,58,246,220,38,72,14,1,11,29,16,4,20,27,0.327,0.382,0.55,0.932,162,0.403,160,121,0,2,0,4,5,*5D,,ramirjo01
6,Jonathan Aranda*,27,TBR,AL,2.4,56,210,181,30,59,12,0,7,32,0,1,23,50,0.326,0.414,0.508,0.923,165,0.401,168,92,3,5,0,1,0,*3/HD,,arandjo01
7,Paul Goldschmidt,37,NYY,AL,1.7,60,246,223,38,72,13,1,6,28,5,0,19,40,0.323,0.38,0.471,0.85,142,0.375,142,105,4,2,0,1,3,*3/HD,,goldspa01
8,Will Smith,30,LAD,NL,2.3,49,194,158,25,51,11,0,5,31,2,3,31,33,0.323,0.433,0.487,0.92,164,0.398,164,77,2,2,0,3,0,*2/H,,smithwi05
9,Brendan Donovan*,28,STL,NL,2.2,57,246,221,32,71,19,0,4,24,3,1,19,28,0.321,0.384,0.462,0.845,137,0.372,137,102,4,4,1,1,1,*47/6DH,,donovbr01
10,Manny Machado,32,SDP,NL,2.1,60,250,223,41,70,17,0,7,29,8,2,25,41,0.314,0.38,0.484,0.864,142,0.38,141,108,7,0,0,2,1,*5/D,,machama01
11,Maikel Garcia,25,KCR,AL,1.4,59,239,214,24,67,14,2,5,27,11,7,21,37,0.313,0.374,0.467,0.841,136,0.362,135,100,1,1,1,2,0,*54/86DH9,,garcima01
12,Jeremy Peña,27,HOU,AL,3.6,61,258,231,32,72,10,1,9,30,10,1,16,35,0.312,0.374,0.481,0.854,140,0.38,141,111,5,8,1,2,1,*6/H,,penaje02
13,Steven Kwan*,27,CLE,AL,2.6,59,256,231,30,72,13,0,5,21,8,1,20,22,0.312,0.373,0.433,0.805,129,0.366,133,100,1,3,1,1,0,*7/D,,kwanst01
14,Trea Turner,32,PHI,NL,1.6,59,266,243,41,73,10,2,7,28,16,5,19,47,0.3,0.357,0.444,0.802,123,0.36,123,108,3,3,0,1,0,*6/H,,turnetr01
15,TJ Friedl*,29,CIN,NL,1.6,59,262,227,35,68,11,2,4,20,9,3,30,42,0.3,0.383,0.419,0.802,119,0.366,124,95,3,2,1,2,0,*8/DH,,friedtj01
16,Alex Bregman,31,BOS,AL,3,51,226,197,32,59,17,0,11,35,1,1,22,42,0.299,0.385,0.553,0.938,159,0.404,162,109,3,6,0,1,1,*5,,bregmal01
17,Nico Hoerner,28,CHC,NL,2.3,57,242,223,35,66,15,1,0,28,13,3,14,18,0.296,0.343,0.372,0.715,107,0.335,113,83,1,3,0,2,0,*4,,hoernni01
18,Alejandro Kirk,26,TOR,AL,1,49,191,173,12,51,5,0,3,24,0,0,14,19,0.295,0.346,0.376,0.721,104,0.322,103,65,6,1,0,3,1,*2/HD,,kirkal01
19,Jake Meyers,29,HOU,AL,1.4,59,204,185,26,54,10,1,3,16,8,3,16,38,0.292,0.347,0.405,0.752,113,0.338,114,75,5,0,2,1,0,*8/H,,meyerja02
20,Heliot Ramos,25,SFG,NL,1.3,60,261,233,39,68,12,1,11,33,5,2,19,60,0.292,0.356,0.494,0.85,142,0.368,140,115,6,6,0,3,1,*7/D,,ramoshe02
21,Shohei Ohtani*,30,LAD,NL,3,60,281,240,64,70,9,4,23,39,11,4,39,71,0.292,0.388,0.65,1.038,191,0.43,184,156,2,0,0,2,8,*D,,ohtansh01
22,Sal Frelick*,25,MIL,NL,1.2,60,237,213,25,62,6,3,4,21,11,2,17,29,0.291,0.352,0.404,0.756,114,0.342,112,86,1,3,2,0,0,*98/5H,,frelisa01
23,Pete Alonso,30,NYM,NL,2.2,62,272,231,34,67,19,1,14,53,0,2,31,57,0.29,0.386,0.563,0.949,171,0.401,168,130,9,7,0,3,2,*3,,alonspe01
24,Andy Pages,24,LAD,NL,2.6,58,238,221,29,64,9,1,12,39,6,2,13,45,0.29,0.336,0.502,0.838,137,0.364,135,111,4,3,0,1,0,*897,,pagesan01
25,Gavin Lux*,27,CIN,NL,0.3,56,207,180,20,52,14,1,1,22,1,0,27,51,0.289,0.382,0.394,0.776,113,0.351,114,71,1,0,0,0,0,7D/4H5,,luxga01
26,Josh Naylor*,28,ARI,NL,0.7,60,254,230,30,66,14,1,7,37,9,2,20,32,0.287,0.344,0.448,0.792,119,0.355,120,103,8,1,0,2,1,*3D/H,,naylojo01
27,Bobby Witt Jr.,25,KCR,AL,2.8,61,266,237,32,68,22,3,7,35,20,5,21,48,0.287,0.346,0.494,0.84,134,0.374,136,117,1,3,0,5,5,*6/D,,wittbo02
28,Rafael Devers*,28,BOS,AL,2.3,64,292,239,39,68,17,0,12,54,1,1,50,66,0.285,0.408,0.506,0.914,154,0.398,158,121,4,1,0,2,5,*D,,deverra01
29,Kyle Tucker*,28,CHC,NL,2.3,60,270,226,44,64,10,4,12,39,16,1,40,32,0.283,0.393,0.522,0.915,162,0.407,161,118,5,2,0,2,6,*9/DH,,tuckeky01
30,Riley Greene*,24,DET,AL,1.6,61,256,237,32,67,14,0,13,42,1,1,18,78,0.283,0.336,0.506,0.842,137,0.368,140,120,5,1,0,0,1,*78/DH9,,greenri03
31,James Wood*,22,WSN,NL,2.7,61,269,230,38,65,16,0,16,45,9,3,36,73,0.283,0.379,0.561,0.94,167,0.404,164,129,4,1,0,2,2,*7D,,woodja03
32,Xavier Edwards#,25,MIA,NL,0.3,46,209,184,20,52,4,1,0,12,11,4,20,35,0.283,0.353,0.315,0.668,87,0.31,86,58,0,1,2,2,1,*6/4DH,,edwarxa01
33,Kyle Stowers*,27,MIA,NL,0.8,58,232,206,24,58,8,2,10,33,3,1,20,66,0.282,0.351,0.485,0.836,128,0.36,124,100,5,3,1,2,1,*79/8HD,,stoweky01
34,Hunter Goodman,25,COL,NL,1,60,241,224,30,63,13,2,10,36,1,1,13,62,0.281,0.328,0.491,0.819,118,0.356,118,110,9,3,0,1,0,2D/H,,goodmhu01
35,Luis Arráez*,28,SDP,NL,0,54,236,217,24,61,12,3,3,21,2,1,11,5,0.281,0.315,0.406,0.72,101,0.317,98,88,3,1,4,3,0,*3/DH,,arraelu01
36,Masyn Winn,23,STL,NL,1.1,49,203,178,35,50,10,0,6,20,2,4,19,43,0.281,0.356,0.438,0.795,123,0.341,121,78,2,3,1,2,0,*6,,winnma01
37,Francisco Lindor#,31,NYM,NL,2.2,61,283,247,42,69,10,0,14,36,11,2,23,49,0.279,0.353,0.49,0.843,141,0.372,140,121,4,8,0,5,2,*6,,lindofr01
